1436	1430	1435	1437	1439	1440	1441	304	1438	33
1723	1726	1728	1725	1724	1727	33	1736	515	516
102	26	177	33	166	20	107	169	198	1436
1316	33	1254	1218	20	1729	1500	102	1436	1430
1547	1589	1556	1588	1587	1560	33	1554	810	102
1745	1748	1747	33	515	516	1540	519	1543	1544
591	577	581	33	579	20	578	355	556	1436
304	1436	1430	1435	305	1437	1439	1440	1441	33
395	777	394	829	33	905	20	810	1436	1430
311	102	308	326	33	296	26	342	324	403
1729	1731	1732	1321	1319	1318	1316	1317	1500	33
33	20	1436	1430	304	1500	556	1435	395	777
556	557	33	380	381	20	382	1436	1430	304
1277	1278	33	1436	1430	304	20	1500	1435	102
1739	1743	1740	1741	1742	1744	515	516	1540	519
33	20	1436	1430	1547	1500	26	1589	1015	304
33	20	1436	189	1430	1435	304	1500	1437	830
1487	33	1495	20	304	395	1500	777	394	591
1500	1524	1540	1499	33	20	102	1436	1430	26
33	1487	1495	1436	1430	304	1729	1500	1496	1435
